subjects	S	picture	R	rt
1	negative	outgroup	negative	0.398112968380304
1	positive	ingroup	positive	0.539994190294533
1	positive	outgroup	negative	0.393721890628223
1	positive	ingroup	positive	0.706333628967636
1	positive	ingroup	positive	0.514937882139881
1	positive	ingroup	negative	1.0043450194111
1	positive	outgroup	negative	0.488738027233193
1	positive	outgroup	positive	0.519148774011307
1	negative	outgroup	positive	0.821585420641308
1	negative	outgroup	negative	0.49381167903813
1	positive	outgroup	positive	0.599907331261629
1	negative	outgroup	negative	0.550189095636657
1	positive	ingroup	positive	0.495634859142966
1	negative	outgroup	negative	0.425818280077101
1	negative	outgroup	negative	0.577579175393599
1	negative	ingroup	positive	0.529011951495244
1	negative	ingroup	positive	0.410368524319767
1	positive	ingroup	positive	0.442967154984863
1	positive	ingroup	negative	0.582544427551318
1	positive	ingroup	positive	0.544290273933267
1	negative	outgroup	negative	0.477729349903732
1	negative	ingroup	positive	0.386651193914104
1	negative	outgroup	negative	0.486518220917162
1	negative	ingroup	negative	0.497077132831653
1	negative	outgroup	negative	1.06447848413325
1	positive	outgroup	positive	0.746578510652062
1	positive	outgroup	positive	0.738217271498422
1	positive	outgroup	positive	1.54010649633188
1	negative	outgroup	negative	0.531472307492445
1	positive	outgroup	positive	0.493085798839553
1	positive	ingroup	positive	0.415552361094394
1	negative	outgroup	negative	0.711181622679744
1	positive	outgroup	positive	1.28906137973155
1	negative	ingroup	negative	0.956786590903636
1	positive	ingroup	positive	0.400431901232303
1	negative	ingroup	positive	0.522688191378426
1	negative	ingroup	negative	1.14756181493594
1	negative	outgroup	negative	1.29000589256531
1	negative	ingroup	positive	0.456479827850017
1	negative	outgroup	positive	0.672200522009202
1	negative	outgroup	negative	0.836914117845193
1	negative	outgroup	negative	0.417647504976967
1	negative	ingroup	negative	1.06893382952508
1	positive	outgroup	positive	0.836527018543593
1	negative	ingroup	negative	0.662711131833448
1	positive	ingroup	positive	0.554255944631237
1	negative	ingroup	positive	0.51790992804975
1	positive	ingroup	positive	1.05205051594847
1	positive	ingroup	positive	0.504729868566037
1	positive	outgroup	positive	0.720726547044677
1	negative	outgroup	negative	0.505009261104838
1	positive	ingroup	positive	0.392258693226559
1	positive	outgroup	negative	0.408710448389162
1	positive	outgroup	negative	0.730144284441186
1	negative	ingroup	negative	0.630106625201806
1	negative	ingroup	negative	0.650970489446655
1	negative	outgroup	negative	0.734178651546912
1	positive	ingroup	positive	0.400391561188929
1	negative	ingroup	positive	0.424020910095097
1	negative	outgroup	negative	0.45862444921069
1	negative	outgroup	negative	0.444876625961446
1	positive	ingroup	positive	0.670702094879619
1	negative	ingroup	negative	1.07184966599999
1	positive	ingroup	negative	0.807263111805255
1	positive	ingroup	positive	0.490583835979866
1	positive	outgroup	positive	0.678110977626053
1	negative	outgroup	negative	0.465721614080937
1	negative	ingroup	negative	0.663568392755754
1	positive	ingroup	positive	0.413930006145723
1	positive	ingroup	positive	0.406038936880242
1	positive	outgroup	positive	0.659825339256957
1	positive	ingroup	positive	0.415311387380252
1	negative	ingroup	negative	0.670338254984041
1	negative	outgroup	positive	0.501562261818632
1	positive	outgroup	negative	0.396365835427423
1	negative	ingroup	negative	0.88471130458841
1	negative	ingroup	positive	0.646297698368067
1	negative	outgroup	positive	0.500438809399413
1	negative	ingroup	negative	0.587383662835965
1	positive	ingroup	negative	0.798512383389736
1	positive	ingroup	positive	0.414166585468066
1	negative	outgroup	negative	0.399225560133478
1	negative	outgroup	negative	0.48408446635223
1	negative	outgroup	negative	0.597591028112581
1	positive	outgroup	positive	1.84799937001228
1	negative	ingroup	negative	1.04105202163658
1	positive	ingroup	positive	0.423321450588877
1	negative	outgroup	negative	0.522231493373412
1	negative	outgroup	negative	0.541756015677472
1	positive	outgroup	positive	1.22909990587956
1	positive	ingroup	positive	0.483957386239205
1	positive	ingroup	positive	0.720379501687812
1	negative	ingroup	negative	0.473135178534274
1	positive	ingroup	positive	0.444771395517758
1	negative	ingroup	negative	0.462112287171232
1	negative	outgroup	negative	1.27039348345227
1	positive	ingroup	positive	0.410141454030815
1	positive	ingroup	positive	0.546673099530095
1	positive	ingroup	positive	0.399660008676373
1	negative	ingroup	positive	0.415734447530901
1	negative	outgroup	negative	0.391922656186987
1	negative	ingroup	positive	0.497081061665589
1	negative	ingroup	positive	1.24070444871229
1	negative	ingroup	positive	0.542176575811131
1	positive	ingroup	positive	0.503179440985809
1	positive	outgroup	positive	0.779764587912334
1	positive	outgroup	negative	0.572453917000589
1	negative	ingroup	negative	1.09361810503143
1	positive	outgroup	positive	0.96653644633792
1	negative	ingroup	positive	0.468527210024101
1	positive	outgroup	positive	0.505294718926786
1	negative	ingroup	negative	0.58689673211886
1	negative	ingroup	positive	0.81244630227673
1	negative	outgroup	negative	0.761787966163011
1	positive	ingroup	negative	0.5181518579378
1	positive	ingroup	positive	0.453920586893134
1	positive	ingroup	positive	0.444868370884115
1	negative	ingroup	positive	0.60077691862656
1	negative	outgroup	negative	0.7855656729997
1	positive	outgroup	positive	1.21644522010021
1	positive	outgroup	positive	0.829130733919789
1	negative	ingroup	positive	0.45143377598161
1	negative	outgroup	negative	0.404001170362858
1	positive	outgroup	negative	0.703186057441061
1	negative	outgroup	negative	0.460671685983009
1	negative	outgroup	negative	0.447303482689237
1	positive	ingroup	positive	0.415496573957534
1	negative	outgroup	positive	0.762854484157824
1	positive	ingroup	positive	0.493247488143073
1	negative	ingroup	positive	0.40999014608651
1	positive	ingroup	positive	0.409403983331781
1	positive	ingroup	negative	0.62943781761992
1	negative	outgroup	negative	0.515459943376092
1	negative	ingroup	positive	0.563122434891002
1	negative	outgroup	positive	0.632771768116192
1	negative	ingroup	negative	0.543646903458255
1	positive	ingroup	positive	0.548408095399195
1	negative	ingroup	negative	0.609988050222524
1	positive	ingroup	positive	0.443681829541893
1	negative	outgroup	negative	0.505177763980331
1	positive	ingroup	positive	0.481174575022054
1	negative	ingroup	negative	1.21262693755187
1	positive	ingroup	positive	0.486275896330207
1	positive	outgroup	positive	1.02255365097118
1	positive	ingroup	positive	0.600935722008866
1	negative	outgroup	positive	0.795489315285079
1	positive	ingroup	positive	0.477024658597799
1	negative	outgroup	negative	0.767116757104877
1	positive	outgroup	negative	0.404840716672858
1	positive	ingroup	positive	0.501258654450085
1	negative	outgroup	negative	0.523245378439073
1	positive	outgroup	negative	0.758104255461494
1	positive	outgroup	negative	0.7218349400592
1	negative	outgroup	negative	0.40903520478415
1	negative	outgroup	negative	0.409136797432291
1	positive	outgroup	negative	0.716552059282056
1	negative	ingroup	positive	0.758667171173737
1	negative	outgroup	negative	0.439713804115132
1	negative	outgroup	negative	0.405611260456191
1	positive	outgroup	negative	0.449633204317968
1	negative	ingroup	negative	1.26306586976481
1	negative	ingroup	negative	0.689114761177486
1	negative	ingroup	positive	0.779804460889014
1	positive	outgroup	positive	0.556933409939169
1	positive	ingroup	positive	0.448382213231914
1	negative	outgroup	negative	0.462539071570078
1	positive	outgroup	positive	0.692916658102946
1	positive	ingroup	positive	1.20440749624908
1	negative	outgroup	negative	0.475860234461214
1	negative	ingroup	positive	0.471635804941304
1	negative	ingroup	negative	0.599150385427979
1	negative	ingroup	negative	0.60698416401642
1	positive	outgroup	positive	0.72023354938667
1	negative	outgroup	negative	0.405883160448348
1	negative	outgroup	negative	0.432268856990517
1	negative	outgroup	negative	0.647260772560394
1	positive	outgroup	positive	0.809454308037094
1	positive	ingroup	positive	0.393354889459744
1	negative	outgroup	positive	0.834823168787254
1	negative	ingroup	negative	2.25437847120224
1	positive	outgroup	positive	0.629010616070534
1	negative	ingroup	negative	0.764435719006389
1	positive	ingroup	positive	0.421375745899837
1	negative	outgroup	negative	0.404204895384892
1	negative	ingroup	positive	0.402723977609741
1	negative	outgroup	negative	0.431218965895688
1	positive	outgroup	negative	0.498037310137066
1	negative	outgroup	negative	0.771279962380172
1	negative	ingroup	negative	0.917072651434806
1	negative	ingroup	positive	0.452655102046693
1	negative	outgroup	positive	1.12417693504191
1	negative	outgroup	negative	0.415536363201948
1	negative	ingroup	negative	0.903047822850912
1	positive	ingroup	negative	0.611316349051154
1	positive	ingroup	positive	0.715115750804584
1	negative	ingroup	positive	1.07589818205011
1	positive	ingroup	positive	0.626230658312745
1	negative	outgroup	negative	0.421514795762635
1	negative	outgroup	negative	0.389500361389527
1	positive	outgroup	negative	0.531149494435565
1	negative	outgroup	positive	1.18984582475709
1	positive	ingroup	positive	0.410143464252433
1	negative	ingroup	positive	0.636089792813551
1	positive	ingroup	positive	0.406055031062484
1	positive	ingroup	positive	0.39208559959362
1	positive	outgroup	negative	0.71804860823408
1	negative	ingroup	positive	0.950106731472969
1	positive	ingroup	positive	0.440416593066787
1	negative	outgroup	negative	0.602101152643544
1	negative	ingroup	negative	0.9132470452285
1	negative	outgroup	negative	0.477404187455567
1	positive	outgroup	negative	1.28965918143757
1	positive	outgroup	negative	0.401447066328586
1	negative	outgroup	positive	0.65480040230828
1	positive	outgroup	positive	0.438702248867458
1	negative	outgroup	negative	0.565738214026646
1	positive	outgroup	negative	0.407091052349733
1	negative	outgroup	negative	0.485355982987413
1	positive	outgroup	positive	0.91298960078269
1	negative	outgroup	negative	0.57139471278104
1	negative	outgroup	negative	0.456427723478193
1	negative	ingroup	negative	0.795906132237415
1	positive	ingroup	positive	0.91524943257337
1	negative	outgroup	negative	0.706135729281943
1	negative	ingroup	negative	0.937856808252015
1	negative	outgroup	negative	0.422484715693069
1	negative	outgroup	negative	0.467388942967932
1	positive	ingroup	positive	0.473414641848935
1	negative	ingroup	positive	0.562758463512921
1	positive	outgroup	negative	0.430672393831374
1	negative	ingroup	positive	0.409122333560977
1	negative	ingroup	positive	1.10959514229059
1	positive	ingroup	negative	0.639242643867965
1	negative	ingroup	negative	0.853542327336076
1	positive	outgroup	negative	0.764291805226722
1	positive	outgroup	negative	0.397246934260565
1	positive	ingroup	positive	1.57996711287535
1	positive	outgroup	positive	0.495987328451327
1	negative	ingroup	negative	0.490617935777747
1	negative	outgroup	negative	0.526927729858068
1	positive	outgroup	positive	0.533079316348636
1	positive	outgroup	positive	0.582900765144443
1	positive	outgroup	negative	0.612985011117469
1	negative	ingroup	negative	0.642301213023063
1	negative	ingroup	negative	0.933822030800014
1	positive	ingroup	positive	0.489981221925762
1	positive	outgroup	positive	1.33217470412371
1	positive	outgroup	positive	0.540633666192752
1	negative	ingroup	negative	0.541474710940137
1	positive	outgroup	negative	0.703734727475942
1	positive	ingroup	positive	0.981607579944968
1	negative	ingroup	negative	0.600805660154792
1	negative	ingroup	negative	0.554678540545562
1	negative	ingroup	positive	0.456494597150836
1	positive	outgroup	negative	0.586675157083226
1	negative	ingroup	negative	0.781938655616256
1	positive	ingroup	positive	0.475265895819579
1	positive	ingroup	positive	0.520987491571646
1	positive	ingroup	positive	0.661904541564729
1	negative	ingroup	positive	0.666725186895448
1	negative	ingroup	positive	0.553988518923009
1	positive	outgroup	negative	0.385306068095341
1	negative	ingroup	positive	0.448913537048506
1	negative	ingroup	negative	1.17639798070432
1	negative	ingroup	negative	1.02388256957138
1	negative	ingroup	positive	0.441513067156817
1	negative	ingroup	positive	0.416927999901595
1	negative	outgroup	negative	0.458717069410369
1	positive	outgroup	negative	0.47810081007553
1	positive	ingroup	positive	0.570349674678465
1	negative	outgroup	positive	1.27828393094762
1	positive	ingroup	positive	0.395021679079607
1	positive	ingroup	negative	0.5753562753503
1	negative	outgroup	negative	0.733417768133638
1	positive	ingroup	positive	0.62806267429371
1	positive	outgroup	negative	0.599330586955982
1	positive	ingroup	positive	0.612849144417846
1	positive	ingroup	positive	0.432990121681465
1	positive	outgroup	negative	0.856169803023923
1	negative	outgroup	negative	0.392724034209154
1	positive	outgroup	negative	0.583406474295669
1	positive	outgroup	positive	0.720563498267989
1	positive	ingroup	positive	0.585420818891372
1	negative	outgroup	negative	0.447881173933729
1	positive	ingroup	positive	0.512655202250986
1	negative	ingroup	positive	0.459507633076382
1	positive	outgroup	positive	0.929065196758521
1	positive	outgroup	negative	0.430083947380204
1	positive	ingroup	positive	0.593148216635809
1	negative	ingroup	positive	0.468641030606313
1	negative	outgroup	positive	1.93027475477533
1	positive	ingroup	negative	0.736905429088601
1	positive	outgroup	positive	0.628343714358642
1	negative	ingroup	negative	0.941340025184574
1	negative	ingroup	positive	0.452840947590923
1	negative	ingroup	positive	0.431627033404767
1	positive	outgroup	positive	0.936303095280068
1	positive	ingroup	negative	0.487847810724126
1	positive	outgroup	negative	0.446568959213149
1	negative	outgroup	negative	0.559102796235632
1	positive	outgroup	positive	0.627512857559815
1	negative	outgroup	positive	0.835390649138557
1	positive	outgroup	negative	0.598235869780694
1	positive	ingroup	positive	0.703768924861712
1	positive	outgroup	negative	0.570991397213546
1	negative	ingroup	negative	0.950604047385051
1	negative	ingroup	negative	0.721876169947001
1	positive	outgroup	negative	0.5912770720931
1	positive	ingroup	negative	0.716816827621104
1	negative	ingroup	positive	0.482557299338151
1	negative	outgroup	positive	0.749636745328708
1	negative	ingroup	negative	1.11250830651835
1	positive	ingroup	positive	0.69607013140115
1	positive	ingroup	positive	0.561655219516136
1	positive	ingroup	positive	0.623545274375497
1	positive	outgroup	positive	1.35749545735087
1	positive	ingroup	negative	1.01782112078606
1	negative	outgroup	negative	0.407660587040955
1	positive	ingroup	positive	0.456419981458461
1	positive	ingroup	positive	0.561857159698363
1	negative	ingroup	positive	0.881553519690846
1	negative	outgroup	negative	0.606301646018578
1	positive	outgroup	negative	0.487352361754822
1	positive	outgroup	positive	0.579083633462826
1	negative	ingroup	positive	0.771773731243178
1	negative	outgroup	negative	0.903182073142331
1	negative	ingroup	positive	0.4131228795695
1	negative	outgroup	negative	0.718869062866918
2	negative	ingroup	negative	0.255427955183416
2	positive	ingroup	positive	0.466245694470873
2	positive	outgroup	negative	0.659946095252801
2	negative	outgroup	negative	0.314706960317544
2	negative	ingroup	negative	0.907907183847019
2	positive	outgroup	positive	0.403337221807264
2	positive	outgroup	positive	0.508735023242638
2	positive	outgroup	negative	0.293874429662676
2	positive	ingroup	positive	0.283710701368301
2	negative	outgroup	negative	0.376968911849454
2	positive	outgroup	negative	0.706107184581157
2	positive	outgroup	positive	0.289479062407054
2	negative	ingroup	negative	0.377702869185557
2	negative	outgroup	negative	0.781393669981371
2	positive	ingroup	negative	0.34361473131015
2	positive	ingroup	positive	0.621080627063845
2	negative	outgroup	negative	0.521664854868225
2	positive	outgroup	positive	0.532770251911585
2	positive	outgroup	positive	0.324000568039199
2	positive	ingroup	positive	0.487830552513055
2	negative	ingroup	negative	0.598182420794155
2	positive	ingroup	positive	0.946313578527253
2	negative	ingroup	negative	0.907261839228882
2	positive	outgroup	negative	1.15493750058942
2	positive	outgroup	positive	0.240368163488054
2	positive	outgroup	positive	0.526869247248978
2	positive	ingroup	positive	0.241256198053689
2	negative	ingroup	negative	0.59628594225721
2	negative	outgroup	negative	0.403680906102999
2	positive	outgroup	negative	0.358410611702072
2	positive	ingroup	positive	0.305530363386695
2	positive	ingroup	positive	0.350095087629552
2	positive	outgroup	positive	0.300366061118379
2	positive	ingroup	positive	0.897968162986628
2	negative	outgroup	negative	1.00409574957668
2	positive	outgroup	positive	0.268777838653361
2	negative	ingroup	positive	0.74281752545072
2	positive	ingroup	positive	0.685897790247875
2	negative	ingroup	positive	0.400015661051958
2	negative	outgroup	negative	0.866435008169112
2	negative	ingroup	negative	0.29329054202064
2	negative	outgroup	negative	0.240499170453217
2	positive	outgroup	positive	0.425173152528685
2	positive	ingroup	negative	0.264401250518716
2	negative	outgroup	negative	0.755788432086933
2	positive	ingroup	positive	0.405453144230968
2	positive	ingroup	negative	0.290571272943473
2	negative	outgroup	positive	0.73091225464283
2	negative	ingroup	negative	0.303888005519622
2	positive	ingroup	positive	0.445564385017767
2	positive	ingroup	positive	0.472816596234728
2	negative	ingroup	negative	0.562139357869698
2	negative	ingroup	positive	0.650479169871993
2	negative	outgroup	negative	0.386120700856776
2	negative	outgroup	negative	0.357760614711469
2	positive	outgroup	positive	0.846231247860278
2	negative	ingroup	positive	0.414293970247372
2	negative	outgroup	negative	0.340219554476949
2	negative	outgroup	negative	0.466896871507707
2	negative	outgroup	negative	0.453148116074715
2	negative	ingroup	negative	0.495753376832665
2	positive	ingroup	positive	0.366156788780175
2	negative	outgroup	negative	0.41570182776098
2	positive	ingroup	negative	0.347527479396944
2	positive	ingroup	positive	0.73605368056812
2	negative	outgroup	positive	0.297945815328345
2	negative	ingroup	negative	0.644388306444674
2	negative	outgroup	negative	0.347886253985135
2	negative	ingroup	positive	0.288499298666839
2	negative	outgroup	positive	0.410355820198781
2	positive	outgroup	positive	0.262770020002397
2	positive	outgroup	positive	0.271605883941134
2	positive	ingroup	negative	0.602533226589896
2	positive	ingroup	positive	0.525298637770507
2	positive	outgroup	positive	0.369586864564546
2	negative	ingroup	negative	0.293038546220643
2	positive	ingroup	positive	0.595528133246382
2	negative	outgroup	negative	0.317995470799897
2	positive	outgroup	positive	0.367955248504732
2	negative	outgroup	negative	0.591924141972779
2	negative	ingroup	negative	0.318011798376324
2	positive	ingroup	positive	0.391290664676392
2	positive	ingroup	positive	0.250540460760482
2	negative	outgroup	negative	0.484968920374432
2	negative	ingroup	negative	0.281656323611146
2	negative	ingroup	negative	0.627095742707635
2	positive	outgroup	positive	0.294236645747315
2	positive	outgroup	positive	0.518607248024343
2	negative	ingroup	positive	0.416691278511116
2	positive	ingroup	negative	1.20623447853523
2	positive	ingroup	positive	0.550106649166956
2	positive	outgroup	positive	0.345352955167901
2	negative	ingroup	negative	0.265052884592367
2	positive	ingroup	positive	0.626957633203114
2	positive	outgroup	positive	0.448473969654989
2	positive	ingroup	positive	0.288700043071222
2	negative	ingroup	negative	0.514848307583043
2	negative	outgroup	positive	0.685654036195108
2	positive	ingroup	positive	0.262241649155108
2	positive	ingroup	negative	0.630511660760347
2	positive	outgroup	negative	0.548430354946398
2	positive	outgroup	positive	0.257571823832173
2	negative	outgroup	positive	0.367765837497975
2	negative	outgroup	negative	0.280443868309378
2	positive	ingroup	negative	0.454524283591465
2	negative	ingroup	negative	0.523257544908115
2	positive	ingroup	positive	0.527496787548947
2	positive	ingroup	positive	0.393564689073997
2	positive	ingroup	negative	1.20970430816439
2	negative	outgroup	negative	0.298175960908139
2	positive	ingroup	positive	0.504153687365511
2	positive	outgroup	positive	0.624127503993955
2	positive	ingroup	positive	0.252166017742809
2	negative	outgroup	negative	0.335655638103192
2	negative	ingroup	negative	0.483879404812356
2	positive	outgroup	positive	0.365941237794238
2	negative	ingroup	negative	0.592229121959022
2	positive	outgroup	positive	0.271367241440984
2	positive	ingroup	positive	0.446507752909088
2	positive	ingroup	positive	0.293686602168447
2	negative	ingroup	negative	0.845702491559421
2	negative	outgroup	positive	0.512910277264124
2	positive	outgroup	positive	0.486859866480783
2	positive	ingroup	positive	0.371824827617957
2	negative	ingroup	negative	0.299409094818914
2	negative	ingroup	positive	0.339572826042926
2	positive	ingroup	positive	0.409432687642319
2	negative	ingroup	negative	0.245875743214327
2	positive	ingroup	positive	0.492881824123056
2	positive	ingroup	positive	0.427449495620849
2	negative	ingroup	negative	0.858171429197101
2	positive	outgroup	positive	0.332186820304487
2	negative	ingroup	negative	0.310571400094346
2	negative	ingroup	negative	0.371227349981966
2	negative	outgroup	negative	0.434804188202957
2	negative	ingroup	positive	0.258779686990075
2	positive	ingroup	negative	1.29023395307408
2	negative	ingroup	negative	0.342867521844851
2	negative	outgroup	negative	0.482716451684155
2	positive	outgroup	positive	0.306532627271206
2	negative	outgroup	negative	0.384307949329008
2	positive	ingroup	positive	0.350877721928403
2	positive	outgroup	positive	0.372176713455809
2	positive	ingroup	positive	0.789137055354672
2	negative	ingroup	negative	0.306654305913588
2	positive	ingroup	negative	0.591780826759724
2	positive	ingroup	positive	0.381806006643357
2	negative	outgroup	negative	0.348819945722069
2	positive	ingroup	positive	0.81209815387944
2	positive	ingroup	positive	0.64390032524885
2	positive	outgroup	positive	0.254596752162703
2	positive	ingroup	negative	0.310589078810021
2	negative	outgroup	negative	0.471883307028335
2	positive	outgroup	positive	0.566319008470049
2	negative	outgroup	negative	0.750166338481464
2	negative	ingroup	positive	0.335854242749932
2	positive	ingroup	positive	0.504981844545551
2	negative	ingroup	negative	0.82322419817953
2	negative	ingroup	negative	0.274072701170488
2	negative	ingroup	negative	0.256904713480361
2	negative	ingroup	negative	0.607036653159085
2	negative	outgroup	negative	0.794660355864343
2	negative	ingroup	negative	0.487038297054444
2	positive	outgroup	positive	0.396570536980505
2	negative	outgroup	negative	0.718747950573822
2	positive	outgroup	positive	0.637672446361974
2	positive	outgroup	positive	0.82786223430872
2	positive	outgroup	positive	0.410955214809895
2	negative	ingroup	positive	0.364691361105005
2	negative	ingroup	negative	0.320397604665408
2	negative	outgroup	negative	0.539547517573328
2	negative	outgroup	positive	0.822241225286265
2	negative	ingroup	negative	0.424352666039206
2	positive	outgroup	positive	0.367089409523258
2	negative	ingroup	negative	0.27549495758945
2	negative	ingroup	negative	0.36055381195979
2	negative	ingroup	negative	0.387727056470155
2	negative	outgroup	negative	0.25845537744562
2	negative	ingroup	negative	0.307134105494915
2	positive	ingroup	positive	0.339892621755642
2	negative	ingroup	negative	0.388732203286062
2	positive	ingroup	positive	0.667306802669658
2	positive	outgroup	positive	0.32182582238569
2	negative	ingroup	positive	0.791937986806482
2	positive	outgroup	positive	0.403280813088422
2	positive	ingroup	positive	0.515052134923425
2	positive	ingroup	positive	0.618594563689535
2	positive	outgroup	positive	0.810222372375392
2	negative	outgroup	negative	0.325702529767196
2	negative	outgroup	negative	0.777996180022757
2	negative	ingroup	negative	0.525239209699503
2	negative	outgroup	negative	0.506857888786497
2	positive	outgroup	positive	0.249915443810448
2	positive	outgroup	positive	0.326585582220946
2	negative	ingroup	negative	0.261100477567755
2	positive	outgroup	negative	0.239851367191619
2	negative	outgroup	positive	1.1807846641152
2	positive	outgroup	positive	0.292609802791117
2	positive	outgroup	positive	0.386188370063689
2	negative	outgroup	negative	0.520810007310324
2	negative	ingroup	positive	0.286937480074231
2	negative	ingroup	negative	0.443601174447374
2	positive	ingroup	positive	0.342619106153479
2	positive	outgroup	positive	0.963086360744692
2	negative	ingroup	negative	0.248790179951917
